id,predicted_result_type,sentence_year,sentence_months,sentence_days,sentence_hours,is_suspended,suspension_years,suspension_months,fine_is_fixed,fine_amount,drug_weight,predicted_amount,drug_weight.1,entry_date,result_date,result_type,court_city,region,latitude,longitude,sentence_total_months,sentence_type,has_fine,fine_category,accuracy_flag,log_fine,log_weight,region_group
10011413,условное осуждение,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3748.28,значительный,"3748,28",27.12.2021,20.1.2022,Вынесен ПРИГОВОР,с. Петропавловка,Республика Бурятия,51.8335,107.5842,36.0,,Нет,Нет штрафа,Разнится,0.0,8.229319100530097,Центр
10037479,лишение свободы,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.63,крупный,"49,63",29.6.2023,4.9.2023,Вынесен ПРИГОВОР,г. Пенза,Пензенская область,53.175,45.0348,40.0,,Нет,Нет штрафа,Разнится,0.0,3.924544285981818,Центр
10205667,лишение свободы,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,438.0,значительный,438,25.10.2023,19.1.2024,Вынесен ПРИГОВОР,г. Камень-на-Оби,Алтайский край,53.3606,83.7636,42.0,,Нет,Нет штрафа,Разнится,0.0,6.0844994130751715,Центр
10256322,лишение свободы,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.48,значительный,"11,48",6.10.2023,31.10.2023,Вынесен ПРИГОВОР,г. Инта,Республика Коми,61.6689,50.8356,13.0,,Нет,Нет штрафа,Разнится,0.0,2.5241273629412815,Центр
10120061,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,23.4.2018,16.5.2018,Вынесен ПРИГОВОР,г. Дзержинск,Нижегородская область,56.2965,43.9361,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10014558,условное осуждение,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.287,значительный,"0,287",24.1.2020,7.2.2020,Вынесен ПРИГОВОР,г. Волгоград,Волгоградская область,49.733,44.117,12.0,,Нет,Нет штрафа,Разнится,0.0,0.2523139286139896,Центр
10127785,штраф,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,20000.0,0.64,значительный,"0,64",12.1.2022,26.1.2022,Вынесен ПРИГОВОР,г. Санкт-Петербург,Город Санкт-Петербург,59.9343,30.3351,2.0,,Да,10k–50k₽,Разнится,9.90353755128617,0.49469624183610705,Центр
10126342,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0,0.728,значительный,"0,728",23.11.2023,6.12.2023,Вынесен ПРИГОВОР,г. Керчь,Республика Крым,44.9521,34.1024,0.0,,Да,10k–50k₽,Разнится,9.210440366976517,0.5469646703818638,Центр
10202292,лишение свободы,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.054,значительный,"1,054",19.8.2020,25.9.2020,Вынесен ПРИГОВОР,г. Сыктывкар,Республика Коми,61.6689,50.8356,12.0,,Нет,Нет штрафа,Разнится,0.0,0.7197891115063665,Центр
10053951,условное осуждение,3.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,15000.0,144.82,значительный,"144,82",29.6.2018,17.7.2018,Вынесен ПРИГОВОР,с. Сарыг-Сеп,Республика Тыва,51.7191,94.437,36.0,,Да,10k–50k₽,Разнится,9.61587214452889,4.9823729843782845,Центр
10390841,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,15.5.2024,,,г. Соликамск,Пермский край,58.0105,56.2502,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10115651,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15000.0,1.0,значительный,1,25.1.2022,18.2.2022,Вынесен ПРИГОВОР,г. Каменск-Уральский,Свердловская область,56.8389,60.6057,0.0,,Да,10k–50k₽,Разнится,9.61587214452889,0.6931471805599453,Центр
10246621,условное осуждение,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,414.52,крупный,"414,52",26.8.2022,26.9.2022,Вынесен ПРИГОВОР,п. Иволгинск,Республика Бурятия,51.8335,107.5842,36.0,,Нет,Нет штрафа,Разнится,0.0,6.029530747914438,Центр
10088216,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,2.12.2022,7.3.2023,Вынесен ПРИГОВОР,г. Ростов-на-Дону,Ростовская область,47.2357,39.7015,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10052891,обязательные работы,0.0,0.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,66.43,значительный,"66,43",30.11.2020,17.12.2020,Вынесен ПРИГОВОР,г. Кисловодск,Ставропольский край,45.0448,41.969,0.0,,Нет,Нет штрафа,Разнится,0.0,4.2110900227464905,Центр
10045424,условное осуждение,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,751.68,значительный,"751,68",19.3.2024,28.3.2024,Вынесен ПРИГОВОР,с. Тарбагатай,Республика Бурятия,51.8335,107.5842,36.0,,Нет,Нет штрафа,Разнится,0.0,6.623640170676444,Центр
10050746,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0,38.7,значительный,"38,7",13.12.2022,26.12.2022,Вынесен ПРИГОВОР,г. Сердобск,Пензенская область,53.175,45.0348,0.0,,Да,10k–50k₽,Разнится,9.210440366976517,3.681351187693145,Центр
10006090,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,23.3.2018,8.5.2018,Вынесен ПРИГОВОР,г. Волгоград,Волгоградская область,49.733,44.117,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10055997,обязательные работы,0.0,0.0,0.0,250.0,0.0,0.0,0.0,1.0,0.0,46.85,значительный,"46,85",30.7.2021,1.9.2021,Вынесен ПРИГОВОР,г. Ульяновск,Ульяновская область,54.3081,48.3748,0.0,,Нет,Нет штрафа,Разнится,0.0,3.868071117898963,Центр
10339932,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,27.4.2024,24.6.2024,ВОЗВРАЩЕНО ПРОКУРОРУ или РУКОВОДИТЕЛЮ СЛЕДСТВЕННОГО ОРГАНАОБВИНИТЕЛЬНОЕ ЗАКЛЮЧЕНИЕ (обв. акт) СОСТАВЛЕНЫ С НАРУШЕНИЕМ т,г. Урень,Нижегородская область,56.2965,43.9361,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
